# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
1e-12	0.9964614	0.08363282	0.0012995219	0.3586301	0.031376068	0
1.5758752759595972e-11	0.9964595	0.08365571	0.0013137687	0.3586301	0.031376068	4.3212335e-06
3.0775246068055714e-11	0.99646235	0.0836204	0.0013237452	0.3586301	0.031376068	-1.1918221e-05
4.567777373553841e-11	0.9964654	0.08358397	0.0012877819	0.3586301	0.031376068	-3.6929457e-06
5.986822809034882e-11	0.996462	0.08362574	0.0012553254	0.3586301	0.031376068	1.18234075e-05
7.47162883895248e-11	0.99645674	0.08368768	0.0012839999	0.3586301	0.031376068	4.185521e-06
8.975272061734991e-11	0.99645895	0.08366147	0.0013341242	0.3586301	0.031376068	-1.2076834e-05
1.0400313968708387e-10	0.9964641	0.08359951	0.0013301484	0.3586301	0.031376068	-4.3613063e-06
1.191034808533022e-10	0.9964638	0.08360413	0.001291074	0.3586301	0.031376068	1.2100004e-05
1.3352291907051007e-10	0.99646014	0.08364568	0.0012844772	0.3586301	0.031376068	4.2406477e-06
1.4832941465164682e-10	0.99646086	0.08363841	0.0012990591	0.3586301	0.031376068	-1.2068783e-05
1.6302772194470982e-10	0.996463	0.08361326	0.0012893315	0.3586301	0.031376068	-4.137787e-06
1.7764149544691556e-10	0.9964604	0.08364306	0.0012804056	0.3586301	0.031376068	1.2072436e-05
1.9217985998590215e-10	0.9964576	0.08367723	0.0013114343	0.3586301	0.031376068	4.4892836e-06
2.071584948553851e-10	0.99646115	0.0836338	0.0013411789	0.3586301	0.031376068	-1.2168737e-05
2.2208109726551428e-10	0.996466	0.083576486	0.0013077572	0.3586301	0.031376068	-3.8709595e-06
2.3646627645406716e-10	0.9964635	0.08360667	0.0012608821	0.3586301	0.031376068	1.2170921e-05
2.5130657892754167e-10	0.99645793	0.083672926	0.0012715327	0.3586301	0.031376068	4.1312655e-06
2.661161716800832e-10	0.99645877	0.08366357	0.001314515	0.3586301	0.031376068	-1.2326685e-05
2.808961078671771e-10	0.99646276	0.08361485	0.0013186026	0.3586301	0.031376068	-3.9138117e-06
2.951633922402614e-10	0.99646235	0.08361985	0.0012988719	0.3586301	0.031376068	1.2210594e-05
3.0990040625937864e-10	0.9964598	0.08365039	0.0013032323	0.3586301	0.031376068	4.466868e-06
3.2462104941012033e-10	0.99646187	0.08362653	0.0013139291	0.3586301	0.031376068	-1.228279e-05
3.3932534093644365e-10	0.99646467	0.08359337	0.001287546	0.3586301	0.031376068	-4.4679414e-06
3.5401859802084936e-10	0.9964613	0.08363315	0.0012622828	0.3586301	0.031376068	1.2326583e-05
3.686994005800106e-10	0.99645674	0.08368709	0.0012937394	0.3586301	0.031376068	4.5361066e-06
3.833704170209081e-10	0.99645936	0.08365528	0.001339163	0.3586301	0.031376068	-1.23483505e-05
3.9852138064131094e-10	0.9964652	0.08358735	0.0013239998	0.3586301	0.031376068	-4.0080167e-06
4.1317735853975557e-10	0.9964639	0.08360177	0.0012784734	0.3586301	0.031376068	1.2583886e-05
4.2782633725836367e-10	0.99645936	0.08365595	0.0012768017	0.3586301	0.031376068	4.1684934e-06
4.424700421089921e-10	0.99645996	0.08365003	0.0013031978	0.3586301	0.031376068	-1.25830165e-05
4.5710834800197343e-10	0.9964629	0.08361525	0.0013011205	0.3586301	0.031376068	-4.3605896e-06
4.717434139613958e-10	0.99646115	0.08363503	0.001288446	0.3586301	0.031376068	1.25708775e-05
4.863749746216749e-10	0.99645835	0.08366757	0.0013098611	0.3586301	0.031376068	4.5740885e-06
5.010027846420402e-10	0.9964614	0.08363143	0.0013316453	0.3586301	0.031376068	-1.2548856e-05
5.161152137934448e-10	0.9964658	0.08358035	0.0013001182	0.3586301	0.031376068	-4.1482604e-06
5.307383539788918e-10	0.99646276	0.08361639	0.0012593432	0.3586301	0.031376068	1.27577605e-05
5.453593058900433e-10	0.99645734	0.083679765	0.0012781529	0.3586301	0.031376068	4.394688e-06
5.599784583498227e-10	0.99645877	0.083662875	0.0013236487	0.3586301	0.031376068	-1.2730821e-05
5.745955249859308e-10	0.9964636	0.08360611	0.0013230769	0.3586301	0.031376068	-4.6524724e-06
5.896987012888108e-10	0.996463	0.08361277	0.0012916384	0.3586301	0.031376068	1.29283335e-05
6.043133135613705e-10	0.99645966	0.08365224	0.0012934374	0.3586301	0.031376068	4.252741e-06
6.189275147751837e-10	0.9964611	0.08363456	0.001309321	0.3586301	0.031376068	-1.2900045e-05
6.335399197674349e-10	0.99646395	0.083601005	0.0012915803	0.3586301	0.031376068	-4.526532e-06
6.481517951597527e-10	0.9964613	0.0836344	0.0012714609	0.3586301	0.031376068	1.2864301e-05
6.632500991355378e-10	0.99645716	0.08368173	0.0013008253	0.3586301	0.031376068	4.131562e-06
6.778615883988774e-10	0.99646014	0.083645396	0.0013375613	0.3586301	0.031376068	-1.306301e-05
6.924713269957097e-10	0.9964654	0.08358508	0.0013163546	0.3586301	0.031376068	-4.415741e-06
7.070808526534425e-10	0.9964636	0.08360617	0.001272583	0.3586301	0.031376068	1.3028292e-05
7.216901393442899e-10	0.99645865	0.08366393	0.0012775295	0.3586301	0.031376068	4.703892e-06
7.362993776429151e-10	0.9964595	0.08365417	0.0013101309	0.3586301	0.031376068	-1.2987359e-05
7.513944864700478e-10	0.99646336	0.0836105	0.0013079547	0.3586301	0.031376068	-4.3140526e-06
7.660024702323236e-10	0.99646187	0.083627954	0.0012889119	0.3586301	0.031376068	1.3189931e-05
7.806102803091187e-10	0.99645877	0.08366388	0.0013047982	0.3586301	0.031376068	4.609532e-06
7.952182486844792e-10	0.9964613	0.08363245	0.0013253617	0.3586301	0.031376068	-1.3150792e-05
8.098253088691031e-10	0.9964651	0.083586365	0.0012983929	0.3586301	0.031376068	-4.90664e-06
8.249192049631935e-10	0.9964623	0.08362216	0.0012637615	0.3586301	0.031376068	1.3350683e-05
8.395261444519059e-10	0.99645734	0.08368023	0.0012858965	0.3586301	0.031376068	4.5190927e-06
8.541333107242615e-10	0.99645936	0.08365642	0.0013278447	0.3586301	0.031376068	-1.3313846e-05
8.68739836270012e-10	0.9964642	0.08359842	0.0013193557	0.3586301	0.031376068	-4.821326e-06
8.838330362065525e-10	0.99646306	0.08361299	0.0012852986	0.3586301	0.031376068	1.3511633e-05
